2025-04-03 10:06:25 - [INFO] Facescan gestartet
2025-04-03 10:06:25 - [INFO] Webcam gefunden
2025-04-03 11:11:21 - [INFO] Funktion 1 erkannt: zeige_webcam_fuer_upruefung
2025-04-03 11:11:22 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:22 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:22 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:22 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:22 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:22 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:22 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:22 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:22 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:22 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:23 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:23 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:23 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:23 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:23 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:23 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:23 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:23 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:23 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:23 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:23 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:23 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:23 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:23 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:23 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:23 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:23 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:23 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:23 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:24 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:24 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:24 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:24 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:24 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:24 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:24 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:24 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:24 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:24 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:24 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:24 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:24 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:24 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:24 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:24 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:24 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:24 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:25 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:25 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:25 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:25 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:25 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:25 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:25 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:25 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:25 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:25 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:25 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:25 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:25 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:25 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:25 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:25 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:25 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:25 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:25 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:25 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:25 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:26 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:26 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:26 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:26 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:26 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:26 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:26 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:26 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:26 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:26 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:26 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:26 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:26 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:26 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:26 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:26 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:26 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:26 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:26 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:26 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:27 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:27 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:27 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:27 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:27 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:27 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:27 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:27 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:27 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:27 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:27 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:27 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:27 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:27 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:27 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:27 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:27 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:27 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:27 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:27 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:27 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:28 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:28 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:28 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:28 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:28 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:28 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:28 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:28 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:28 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:28 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:28 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:28 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:28 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:28 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:28 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:28 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:28 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:28 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:28 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:28 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:29 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:29 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:29 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:29 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:29 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:29 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:29 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:29 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:29 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 11:11:29 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 11:11:29 - [INFO] Anzahl der erkannten Gesichter: 1
